FL_DATE,AIRLINE,DEST_CITY,DEP_TIME,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLATION_CODE,ELAPSED_TIME,AIR_TIME,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_LATE_AIRCRAFT
10/3/2020,SkyWest Airlines Inc.,"San Francisco, CA",1659,17,5,1756,-23,,117,95,,,
19-11-2021,Southwest Airlines Co.,"Chicago, IL",2022,11,6,2143,78,,81,64,78,0,0
23-02-2020,American Airlines Inc.,"Eagle, CO",1529,15,4,1645,44,,136,117,4,0,40
12/2/2023,Southwest Airlines Co.,"Albany, NY",2005,10,3,2228,-22,,143,130,,,
31-10-2021,SkyWest Airlines Inc.,"Denver, CO",1523,9,11,1742,-18,,259,239,,,
28-03-2023,Republic Airline,"Newark, NJ",653,11,31,842,-17,,109,67,,,
25-01-2019,Delta Air Lines Inc.,"Atlanta, GA",1700,11,7,1959,-21,,119,101,,,
18-04-2019,Southwest Airlines Co.,"Denver, CO",2020,7,6,2044,44,,144,131,10,0,34
3/12/2019,PSA Airlines Inc.,"New Bern/Morehead/Beaufort, NC",1954,12,2,2045,-17,,51,37,,,
22-12-2021,United Air Lines Inc.,"San Francisco, CA",911,33,6,1234,39,,383,344,38,0,1
31-05-2020,SkyWest Airlines Inc.,"Salt Lake City, UT",559,12,6,828,-13,,89,71,,,
1/11/2022,SkyWest Airlines Inc.,"Asheville, NC",2032,11,4,2301,0,,89,74,,,
19-05-2021,SkyWest Airlines Inc.,"Minneapolis, MN",814,9,5,847,-43,,93,79,,,
6/1/2023,Delta Air Lines Inc.,"Houston, TX",829,18,11,1127,-42,,238,209,,,
10/9/2019,SkyWest Airlines Inc.,"Detroit, MI",930,9,8,1008,-10,,38,21,,,
9/10/2021,American Airlines Inc.,"Dallas/Fort Worth, TX",1627,16,15,1749,-20,,142,111,,,
5/8/2020,Delta Air Lines Inc.,"Minneapolis, MN",624,15,2,1126,-10,,182,165,,,
17-08-2023,United Air Lines Inc.,"Seattle, WA",1059,27,8,1305,11,,126,91,,,
26-12-2019,Delta Air Lines Inc.,"Seattle, WA",1357,19,9,2143,-10,,346,318,,,
15-11-2022,Envoy Air,"Tampa, FL",1627,11,4,1907,-11,,100,85,,,
24-10-2020,Southwest Airlines Co.,"Atlanta, GA",1127,11,7,1608,-17,,161,143,,,
23-05-2022,American Airlines Inc.,"Phoenix, AZ",1614,12,3,1751,-24,,97,82,,,
28-10-2019,Envoy Air,"Dallas/Fort Worth, TX",752,8,8,840,-26,,48,32,,,
13-03-2023,JetBlue Airways,"Aguadilla, PR",856,26,11,1245,38,,229,192,3,0,35
28-02-2021,Endeavor Air Inc.,"Minneapolis, MN",1512,13,4,1638,-34,,86,69,,,
18-09-2022,American Airlines Inc.,"Charlotte, NC",1554,13,5,1719,-8,,85,67,,,
16-02-2020,Endeavor Air Inc.,"Mobile, AL",2224,52,5,2318,23,,114,57,0,0,0
17-06-2021,Horizon Air,"Boise, ID",1709,13,7,2002,-18,,113,93,,,
21-09-2022,Republic Airline,"New York, NY",756,15,17,911,-8,,75,43,,,
12/4/2020,United Air Lines Inc.,"Chicago, IL",1605,13,17,1816,-34,,191,161,,,
4/8/2020,United Air Lines Inc.,"Houston, TX",1324,11,7,1708,-29,,164,146,,,
1/12/2019,Southwest Airlines Co.,"Las Vegas, NV",2153,10,6,15,340,,322,306,0,0,333
26-11-2019,Delta Air Lines Inc.,"Dallas/Fort Worth, TX",1819,29,13,2149,13,,270,228,,,
20-01-2023,Envoy Air,"Chicago, IL",552,13,8,652,-21,,60,39,,,
31-12-2021,Alaska Airlines Inc.,"Los Angeles, CA",,,,,,A,,,,,
18-08-2022,Envoy Air,"Miami, FL",1640,24,6,1854,4,,134,104,,,
16-06-2022,Mesa Airlines Inc.,"Houston, TX",1147,11,4,1311,-22,,84,69,,,
1/5/2020,United Air Lines Inc.,"Denver, CO",1524,13,4,1839,-17,,135,118,,,
25-10-2021,Southwest Airlines Co.,"Phoenix, AZ",841,9,9,1028,13,,107,89,,,
3/5/2021,Republic Airline,"Indianapolis, IN",1827,12,4,1955,-27,,88,72,,,
7/4/2019,Southwest Airlines Co.,"Austin, TX",1606,12,4,1813,63,,127,111,25,0,1
11/5/2021,Southwest Airlines Co.,"Buffalo, NY",906,13,2,1134,-11,,148,133,,,
